original_text,augmented_text,similarity
भारतीय संस्कृति की तो अर्थी निकल गई। संस्कृति के ठेकेदारो को कहीं दिल का दौरा न पड़ जाए।,संस्कृति के भारतीय समृद्ध हो गए। संस्कृति के ठेकेदारों को दिल का दौरा न दो।,0.9992348
कमल का फुल सबसे बड़ी भुल,"कमल का फूल, सबसे बड़ा शाखा",0.997249
राजनाथ सिंह ने कहा कि सपा की हालत इतनी खराब हो चुकी है कि अब अखिलेश यादव अपने हाथ में लाल पोटली लेकर घूम रहे हैं। जो डूबता है उसके लिए तीनके का सहारा ही काफी होता है।,नाथ सिंह ने कहा कि सापा की हालत इतनी बुरी हो गई है कि अखिलेश यादव अब अपने हाथ में लाल बर्तन के साथ घूम रहा है।,0.9992707
मायावती ने कहा कि बसपा सभी सीटों पर अकेले चुनाव लड़ रही है उन्होंने कहा बसपा को वोट देना क्यों जरूरी है आपको ये समझना होगा,माया ने कहा कि बसपा सभी सीटों के लिए अकेले चल रहा है। उन्होंने कहा कि आपको यह समझना होगा कि बसपा के लिए मत देने की क्यों जरूरत है।,0.9991584
AAP पर बेहद गंभीर आरोप लगे हैं AAP की सोच पाकिस्तान जैसी पंजाब के ख़िलाफ साज़िश रची गई वोट से अपराधों का हिसाब करें PM मोदी,ए. पी. को बहुत गंभीर आरोप लगाए गए हैं। ए. पी. का विचार पाकिस्तान की तरह पंजाब के विरूद्ध मतदान पर आधारित होना चाहिए। प्रधानमंत्री மோடி,0.99735224
Assembly Election पांच राज्यों में भाजपा के एकमात्र मुस्लिम उम्मीदवार हैं अंतस खान कहा भाजपा कांग्रेस से कहीं अधिक धर्मनिरपेक्ष,भाजपा विधानसभा चुनावों में पांच राज्यों में एकमात्र मुस्लिम उम्मीदवार है।,0.9982405
सड़क हादसे में हो सकती है मेरी हत्या आजम खान के बेटे अब्दुल्ला का आरोप UP पुलिस के बाद लगा BJP से डर,मुझे भाजपा के बारे में डर है जब उत्तर प्रदेश पुलिस आज़म खान के बेटे अब्दुल्ला को सड़क दुर्घटना में मुझे मारने के आरोप लगाते हैं।,0.9988139
यह ओवैसी का ज़र्फ़ है जो अब्दुल्लाह आजम के बेहूदा बयानबाजी के बावजूद बाप बेटों के खिलाफ कोई प्रत्यशी नहीं उतारा,यह ओवासी का नेता है जो अब्दुल्ला के मूर्ख बयानों के बावजूद पिता-पुर्खाओं और पुत्रों के खिलाफ कोई जवाब नहीं दिया।,0.99897534
यूपी में भाजपा नेताओं का बुरा हाल अब केशव मौर्य को महिलाओं ने चोरचोर कहकर दौड़ाया,उत्तर प्रदेश के भाजपा नेताओं का दुर्भाग्य यह है कि केशव मौर्य अब एक चोर के रूप में महिलाओं द्वारा चलाया गया है।,0.9980649
का युपी में बंटाधार उत्तराखंड में उतार और गोवा के समुंदर में अंत होगा अब ये जनता ने तय कर लिया हैं,यू. पी. का बांडहार उत्तराखण्ड और महासागर में गोवा में समाप्त होगा। अब इन लोगों ने निर्णय लिया है।,0.99860966
सुधा सिंह के निर्देशन में आगामी के दृष्टिगत थाना पनवाड़ी पुलिस टीम ने वांछित अभियुक्त को किया गिरफ्तार ।,सुधा सिंह के निर्देशन में आने वाले थानापनwari पुलिस दल ने अभियुक्तों को गिरफ्तार कर लिया।,0.99919933
चुनाव प्रचार जरूरी या जिंदगी क्या नेताओं के मन में कोरोना का डर नहीं के साथ लोगतंत्र में देखिए कोरोना के कहर के बीच कहांकहां उड़ी चुनाव आयोग के नियमों की धज्जियां,अभियान जरूरी है या जीवन को कोरुना के भय से नेताओं के मन में नहीं है लोकतंत्र को कोरुना के उड़ती हुई चुनाव आयोग के नियमों की आलोचना के बीच देखना,0.9991479
मुस्लिम वोट बैंक पर भाजपा की रणनीति पांचों राज्यों के चुनावों में मिलेंगे अल्पसंख्यकों को टिकट भाजपा अल्पसंख्यक मोर्चा के राष्ट्रीय अध्यक्ष जमाल सिद्दीकी ने कहाभाजपा देगी अल्पसंख्यक मोर्चा कार्यकर्ताओं को टिकट,मुस्लिम मतदान बैंक पर भाजपा की रणनीति में पांच राज्यों में अल्पसंख्यकों को टिकट मिलेगा BJP अल्पसंख्यक फ्रंट राष्ट्रीय अध्यक्ष जेल सिद्दिक ने कहा कि वह अल्पसंख्यक फ्रंट कार्यकर्ताओं को टिकट देगा।,0.99943674
Watch चलती कारचुनावी चर्चा जोरदार कार में सरकार अपर्णा यादव पर बोले ओपी राजभर BJP ने अपवित्र को पार्टी में शामिल किया देखें LIVE,गोच्युनावि चर्चा सरकार एक मजबूत कार में अपारण यादव पर बातचीत करती है ओपीपी राजभर भाजपा पार्टी में अपवित्र शामिल है LIVE देखें,0.9993227
Up कुशीनगर के विधानसभा में सपा और बीजेपी में भिड़ंत के बाद कई गाड़ियों के शीशे टूट गए है,उपशीनगर और भाजपा में सभा में दंगों के बाद कई कारों के चश्मा टूट गए हैं।,0.998996
नेताओं को रेवड़ी की तरह सरकार द्वारा बाटी जा रही में Z Z कैटेगरी सुरक्षा देना सत्ता दुरुपयोग का नग्न भोंडा दुरुपयोग,सरकार द्वारा चराई जा रही भेड़ की तरह नेताओं को जातिवाद के संरक्षण देने के लिए शक्ति का दुरुपयोग नंगे बेडूक का दुरुपयोग करने के लिए,0.9968514
राजनीतिक लाभ के लिए पर ठीकरा फोडकर को जवाबदेही से बचाने कुप्रयास केन्द्रीय सत्ता का नग्न दुरूपयोग,कुवैत सरकार द्वारा फिट्रा फोर्डकर को राजनीतिक लाभ के लिए जवाबदेही से बचाने के लिए केंद्रीय शक्ति का खुला दुरुपयोग।,0.99877304
बदतमीज़ी की हद हो गई जब देश के सबसे बड़े प्रदेश के मुख्यमंत्री योगी जी चुनाव प्रचार में बोले कि लड़कों की जोड़ी प्रदेश में दंगे फैलाने आ रही है,यह सीमा तब प्राप्त हुई जब देश के सबसे बड़े प्रांत के मुख्यमंत्री योगी जी ने चुनाव अभियान में कहा कि एक दो लड़कों ने प्रांत में दंगे फैला रहे हैं।,0.9991969
आज उत्तर प्रदेश में प्रथम चरण के चुनाव हैं समाचार चैनलों के अनुसार मतदाता दो तरह के हैं वोटर और मुस्लिम वोटर Vote for BJP,उत्तर प्रदेश में आज प्रथम चरण चुनाव हो रहे हैं। समाचार चैनलों के अनुसार दो प्रकार के मतदाता हैंः मतदाता और मुस्लिम मतदाता।,0.999131
कल के दोस्त आज के दुश्मन नंबर रणजीत सिंह रावत ने बढ़ाई हरीश रावत की मुश्किलें,आज के दुश्मन रामजीत सिंह रआत ने हरिश्चित रआत की कठिनाइयों को बढ़ा दिया।,0.99667084
गरीबों पर महंगाई का डाका डालने जा रही है मोदीयोगी की सरकार हटाओ महंगाई भगाओ।,"गरीबों पर हड़ताल हो रही है, मॉदी योगी की सरकार हड़ताल को दूर करती है।",0.99788815
BJP से टिकट कटने के डर से भागने वालों को गठबंधन जिस तरह अपने मेहनती नेताओं का टिकट काट कर उन्हें घपाघप टिकट दे रही है। उस हिसाब से गठबंधन को भी झटके के लिए तैयार रहना चाहिए अगर मेहनत करने वाले नेता BJP में गए तो सारे किये कराए पर पानी फिर जाएगा।।,"जो लोग टिकट काटने के भय से भाजपा से भागते हैं, उनके लिए गठबंधन को एक कदम उठाने के लिए तैयार होना चाहिए, जैसे कि वह अपने मेहनती नेताओं के टिकट काटकर उन्हें सौंप रहा है। यदि मेहनती नेताओं को भाजपा में जाना है तो वे जो कुछ करते हैं वह सब वापस जलाया जाएगा।",0.9982041
नींद से जागो मोहन प्यारे पोस्टर पर फ़रवरी की जगह मार्च कर लो फ़रवरी बीत चुका है।,फरवरी के बजाय मीठा पोस्टर में फरवरी। फरवरी खत्म है।,0.9982055
SP अध्यक्ष का बड़ा बयान इन्हीं तारीखों का जनता इंतजार कर रही थी मार्च के बाद यूपी से भारतीय जनता पार्टी का सफाया होगा,एस. पी. के अध्यक्ष का बड़ा वक्तव्य यह था कि लोग इन तारीखों की प्रतीक्षा कर रहे थे। मार्च के बाद भारतीय जनता पार्टी को यू. पी. से निकाला जाएगा।,0.99748665
अयोध्या में बीजेपी और सपा के समर्थकों के बीच फायरिंग जमकर चले पत्थर अभी तक पांच आरोपी हिरासत में,अयोध्या में भाजपा और सभा के समर्थकों के बीच गोलीबारी बंद हो गई और पांच अभियुक्तों को अभी भी पत्थर पकड़े जा रहे हैं.,0.99851906
भाजपा की एक बात पर तारीफ़ करनी पड़ेगी की एसी कमरों में बैठकर बूथ मैनेजमेंट का खाका बनाकर कार्यकर्ताओं को बूथ पर भेजने वाले कांग्रेस नेताओं को भाजपा पार्टी जॉइन करने के बाद बूथ पर काम करने के लिए लगा देती है विचार सौजन्य एक जुनूनी कांग्रेसी,"भाजपा को इस बात की सराहना करनी चाहिए कि जो कांग्रेसी नेता इन कक्षों में बैठते हैं और बुथ प्रबंधन कक्ष बनाते हैं और बुथ में कर्मचारियों को भेजते हैं, वे भाजपा पार्टी में शामिल होने के बाद बुथ पर काम करने के लिए नियुक्त किए जाते हैं।",0.9984657
सेमीफाइनल की तैयारी भाजपा पर है पांच राज्यों में चुनाव जीतने का मानसिक दबाव बन रही है के लिए यह विशेष रणनीति,semifinals के लिए तैयारी भाजपा पर है. यह पांच राज्यों में चुनाव जीतने के लिए मानसिक दबाव के लिए एक विशेष रणनीति है.,0.9973949
जितना बड़ा गपौड़ी बड़ा मोदी उतना ही बड़ा गपौड़ी छोटा संघी रिचार्ज छोटा मोदी अरविंद केजरीवाल,"गन जितना बड़ा होता है, मॉदी जितना बड़ा होता है, यूनियन रिचार्ज जितना छोटा होता है, मॉदी जितना छोटा होता है, वह बड़ा होता है।",0.9945363
चुनावी रैलियों और रोड शो पर प्रतिबंध जनवरी तक बढ़ा तेज रफ्तार में देखिए देशदुनिया की बड़ी खबरें,"चुनाव प्रदर्शनियों और सड़क प्रदर्शनों पर प्रतिबंधों को जनवरी तक बढ़ा दिया गया है, देश के बड़े समाचार जल्दी से देखते हैं।",0.99814945
शेर अली हो गया ढेर अलीयूपी के वोटर की चरण धूलि सर माथेजय हो,"हाथी एक ढेर बन गया है, हाथी हाथी के पैर बन गया है, हाथी हाथी के पैर बन गया है, हाथी हाथी के पैर बन गया है।",0.9914646
सिर्फ नौटंकी यह आये थे राजनीती बदलने। चुलु भर पानी मैं डूब मरो दिल्ली को बर्बाद कर के रख दिया,नौकाओं ने सिर्फ नीति बदलने के लिए आ रहे थे। मैं एक गिलास पानी में डूब गया और दिल्ली विनष्ट छोड़ दिया।,0.99828273
कांडोलकर ने प्रशांत किशोर की पॉलिटिकल कंसल्टेंट कंपनी आईपैक पर टीएमसी उम्मीदवारों से किनारा करने और बुरे व्यवहार का आरोप लगाया है,कोल्कर ने प्यासिफिक यूथ के राजनीतिक सलाहकार कंपनी आईपीएसी को टीएमसी के उम्मीदवारों को शामिल करने और खराब व्यवहार के लिए आरोप लगाया है.,0.998376
टैक्स के पैसे को मुफ़्त में बाटने वाले अब दिल्ली से निकल पंजाब उत्तराखण्ड से होकर गोवा की तरफ निकले है,करदाता अब पंजाब से उत्तराखण्ड तक गोवा जाने के लिए दिल्ली छोड़ रहे हैं।,0.99865264
चुनाव में एक प्रत्याशी लाख खर्च करेगा। सैलरी की आय से आधा कार्यकाल तो बयाज़ सहित रिकवरी में निकल जाएगा। बीजेपी जैसी संस्कारी पार्टी के उम्मीदवार इतना पैसा क्यों खर्च करते है।,चुनाव में एक उम्मीदवार एक लाख खर्च करेगा। वेतन के आधा हिस्सा भुगतान के साथ पुनर्निर्वाचन के लिए जाएगा। भाजपा जैसे परम्परावादी पार्टी के उम्मीदवार इतना पैसा क्यों खर्च करते हैं?,0.9991751
गोवा में भाजपा ने सालों में सिर्फ घोटाले किए AAP संयोजक अरविंद केजरीवाल,गोवा में भाजपा ने वर्षों से ही एएपी समन्वयक अरविंद केयरमानिधिह को धोखा दिया है।,0.9975783
के मडगांव बम ब्लास्ट के साथसाथ नरेंद्र दाभोलकर गोविंद पनसारे और एमएम कलबुर्गी की हत्याओं का आरोप है अदालती कार्रवाई जारी है टीएमसी ममता बैनर्जी जैसों का कोई दीनईमान नहीं,"मडगांव बम विस्फोट के अलावा नरेंद्र दावुलकर, गोविन्द पंसारी और एम. एम. कलबर्गी को हत्या का आरोप लगाया गया है. अदालती कार्यवाही चल रही है. टीएमसी ममाता बनर्जी को यहूदियों पर विश्वास नहीं है.",0.9986054
मे amp भाजपा के एजेंट के रूप मे काम कर रही है इनको यह ध्यान रहे इनके स्टेट का भी वोटर इनको देख रहा है वह सब जानता है,वे भाजपा के एजेंट के रूप में काम कर रहे हैं. वे उन्हें जानते हैं और उनके राज्य मतदाता उन्हें देख रहे हैं. वे सब कुछ जानते हैं.,0.99697036
अमृत काल हो तो गुजरात जैसा हजार करोड़ के बैंकिंग घोटाले के साथ हजार करोड़ की ड्रग्स जब्त देश बदल रहा है सो रहा है,अगर अमृत होता तो गुजरात जैसे देश एक हजार करोड़ बैंकिंग धोखाधड़ी और एक हजार करोड़ ड्रग्स की गिरफ्तारी के साथ सोता।,0.9990475
शिवसेना का तंज गोवा में अपने बूते सीट भी नहीं जीत सकती कांग्रेस,सरकार को गोवा में अपना पुराना स्थान नहीं मिल सकता।,0.99790585
तो कांग्रेसी चमच्च है। फिर को इसकी मानने की जरूरत क्या पड़ गई सट्टेबाजी का भाव बनाने वाले सुभाष चंद्र पता नहीं इतना पैसा कहां ले के जायेंगे।,"कांग्रेसी बुद्धिमान है, लेकिन सुभाष चन्द्र, जो सौदाकारी चिप बन गया है, नहीं जानता कि पैसा कहां ले जाएगा।",0.9979816
पैसा पॉलिटिक्स पावर यानि गोवासिर्फ एक परमीशन यहां रातोंरात लखपति बना देती हैं लेकिन यह फैसिलिटी खास लोगों को ही,"पॉलिसी पावर या गोएसीआरफ एक परियोजना है जो यहां रात के स्थानों का निर्माण करती है, लेकिन यह सुविधा केवल विशिष्ट व्यक्तियों के लिए है।",0.99650025
पुलवामा में शहीद हुए हमारे जवानो की आत्मा को अब तक शांति नही मिली है उनके हत्यारों को कब पकड़ोगे,पुल्वामा में मारे गए हमारे सैनिकों की आत्माओं को अभी तक शांति नहीं मिली है. तुम उनके हत्यारों को कब गिरफ्तार कर लेंगे?,0.9983291
सरकार के प्रवचन में ना आएँ यूपी में अभी चुनाव तक रहेगा हिंदूमुस्लिम और जिन्ना का भूतः,उत्तर प्रदेश में मुसलमान और जिन्ना का अतीत चुनावों तक रहेगाः,0.9988508
एक वादा है निभाने के लिए वोट करो। हर बार आपने जिताने के लिए वोट किया। अबकी बार कातिल को हराने के लिए वोट करो।,एक वादा पूरा होने के लिए मत दें. हर बार आप के लिए जो आप मिल गया मत दिया. इस बार काटिल की हार के लिए मत दें.,0.9982611
यह वही कमल का फूल है जिसका बटन दबाने से अब भारत के शहरो में बम नहीं फटते। मेरे के भाइयों वोट देने से पहले एक बार जरूर विचार करना।,यह कमल फूल है जिसके बटन भारत के शहरों में बमबारी बंद कर देंगे। मेरे भाई मत देने से पहले एक बार इसके बारे में सोचो।,0.9994561
जो राजनीतिक दल दशकों तक सत्ता में रहे हैं लोगों को इस बात पर बांटा कि कुछ को ये मिलेगा कुछ को नहीं मिलेगा,दशकों से सत्ता में रहे राजनीतिक दलों ने लोगों को इस बात पर विभाजित किया है कि उन्हें क्या मिलता है और क्या नहीं मिलता है।,0.99840957
हम गोवा को कोयला का हब नहीं बन्ने देंगे चाहे कुछ भी हो जाए,"हम गोवा को कोयले के केंद्र के रूप में नहीं देंगे, जो भी हो जाए।",0.99790424
कृपया वर्ष से अधिक आयु के परिवार के प्रत्येक सदस्य के लिए बोतल शराब भी उपलब्ध कराएं,एक वर्ष की आयु वाले परिवार के प्रत्येक सदस्य के लिए बोतल पेय भी उपलब्ध कराएं।,0.9992428
भारत के प्रत्येक जनता को जानना चाहिए की परिवारवादी पार्टियों से देश को कितना नुकसान है,प्रत्येक भारतीय को यह जानना चाहिए कि देश परिवारवादी दलों को कितना नुकसान पहुँचता है।,0.99904037
जब आपकी पार्टी के लोग इतने सच्चे और ईमानदार है तो ये डर कैसा इतना असुरक्षित तो हारने वाला ही हो सकता है याद रहे एक डरी हुई पार्टी गोवा नहीं चला सकती,और जब तुम्हारे गिरोह की क़ौम के लोग सच्चे और ईमानदार हो जाएँ तो ख़ौफ तो ऐसा है कि उसे हरगिज़ हरा नहीं जा सकता और (ऐ रसूल) तुम याद रखो कि कोई ख़ौफ क़ौम गोआ तक नहीं जा सकता,0.9981335
आशा है कि मंदिर के पुजारी ने इस गंदगी के जाने के बाद मंदिर को अच्छी तरह धोया।,यह आशा की जाती है कि मंदिर के पुरोहित ने इस कचरे को छोड़कर मंदिर को अच्छी तरह से धो लिया।,0.99949896
गोआ में कांग्रेस के निकम्मेपन और अमित शाह की अति सक्रियता के मिला जुला परिणाम यह हो सकता है कि में ।सीट कांग्रेस की सरकार भाजपा की,गोवा में कांग्रेस की कमजोरी और अमिताभ शाह की अति सक्रियता का एक साथ प्रभाव यह हो सकता है कि सी. आई. टी. कांग्रेस की सरकार,0.99879277
मैं इस्लामिक कट्टरवाद में बसता हूँ कांग्रेसी मुझे भगवा में ढूँढते हैं,मैं इस्लामवादी उग्रवाद में हूं। कांग्रेसी मुझे भगवती में पाते हैं।,0.9988651
जनता को मूर्ख बनाकर मोदी वही चुनावी खेल खेलते रहते हैं। अब विधानसभा चुनाव में जनता माफ नहीं करेगी जो बेरोजगारी कोविड कुप्रबंधन किसानों की मौत उन्हें सह करना पड़ा,Modi लोगों को मूर्ख बनाने के द्वारा एक ही चुनाव खेल खेल रहा है. अब विधानसभा चुनावों में लोग बेरोजगारी के निर्भीक किसानों की मृत्यु को क्षमा नहीं करेंगे जिसे वे सहने के लिए थे.,0.99785674
केजरीवाल जी जो स्कीम बता रहें है वह तो पहले से ही गोवा में है उनका असली चेहरा दिल्ली वालों को पता है इंडिया टीवी से बातचीत,श्री केग्रीवाड़ी के बारे में बात कर रहे हैं योजना पहले से ही गोवा में है. उनके असली चेहरे दिल्ली के लोगों के लिए जाना जाता है. भारत टीवी के साथ बातचीत,0.99816024
पोस्टल बैलट तुरूप का इक्का साबित हो रहें हैं भाजपा के लिए जो वोट नहीं भी कर रहे हैं उनके वोट स्वत ही पड़ रहें हैं,बैलट टूरप का पद अक्ष सिद्ध हो रहा है. जो भाजपा के लिए मत नहीं दे रहे हैं वे स्वचालित रूप से अपना मत प्राप्त कर रहे हैं.,0.9983692
Goa वालों बच के रहना ये करोना का नया Variant है वहाँ INC ही सबसे better option है,जाओ लोग सुरक्षित रहे हैं. यह नया Variant है. INC वहाँ सबसे अच्छा विकल्प है.,0.9974487
और की हार में देश की जीत है।। के इन दो षडयंत्र और पार्टियों को हमेशा के लिए गड्डे में गाड़ने पर ही अब आधुनिक नव भारत का निर्माण होगा।।,आधुनिक नई भारत तभी निर्मित होगी जब इन दो षड्यंत्रों और दलों को सदा के लिए मिट्टी में डाल दिया जाएगा।,0.99894416
बीजेपी ने गोवा में घोटाले भ्रष्ट्राचार किए अरविंद केजरीवाल,श्रीrobindo Keerthian ने गोवा में भ्रष्टाचार किया।,0.99734503
भाइयों उस पार्टी को कभी सपोर्ट न करना जिसकी जीत की खुशी पाकिस्तान में मनायी जाए,किसी पार्टी का कभी भी समर्थन न करें जिसका विजय पाकिस्तान में मनाया जाता है।,0.9979183
